3.113028547281050e+02	3.626744855411812e+02	3.922088803437109e+02	3.628375415855767e+02	2.321942339805491e+02	9.884182762930625e+01
4.233765667600781e+02	4.157815681106031e+02	3.109119169210053e+02	1.300413618935755e+02	-8.413198616013545e+00	-4.071787775082984e+01
4.107315472650731e+02	2.176615768383116e+02	-9.061465556592945e+01	-3.060787515639171e+02	-2.090315878035730e+02	-4.771656365133863e+01
3.628437026402242e+02	-1.454037443370437e+01	-3.359941432939501e+02	-2.944738214063491e+02	-5.161425891117550e+01	2.214709596372720e+01
3.152143179737528e+02	-1.503728309897470e+02	-2.354374117423128e+02	7.348954972109627e+01	1.515103487666097e+02	2.618482088317425e+01
2.182270512479138e+02	-2.280322553203640e+02	-3.988791814430544e+01	2.017076868245011e+02	4.230170157937098e+01	-2.537270061749960e+01
1.331934408140603e+02	-2.101231507631673e+02	9.776687375135964e+01	5.676789300927165e+01	-8.025358628080524e+01	-1.625317190972386e+00
7.117834240454447e+01	-1.282287274861688e+02	1.157821607974000e+02	-8.306235364196418e+01	-3.324862381632206e+01	1.325919602644508e+01
2.848375147162532e+01	-4.383094964532857e+01	6.216141029479420e+01	-7.368006018160850e+01	4.582203639792169e+01	-6.750834340903968e+00
1.383660656306841e+00	-6.328875815519229e+00	7.964492153197977e+00	-1.999975616604781e+01	2.760789154850104e+01	-1.371259758077899e+01
